order_id	timestamp	status	layout_name	table_name	total_amount	total_discount	card_methods	card_amount	cash_returned	net_payments	exact_card_cash_match	product_lines	product_total	products	payments
16862115	2026-04-12T19:55:20+00:00	order_ended	MOSTRADOR	Tiendita	205	205	credit_card_visa	205	205	0	yes	2	205	Miller High Life x3 | Flashlyte Coco x1	credit_card_visa:205 | cash:-205
16861606	2026-04-12T19:29:00+00:00	order_ended	MOSTRADOR	Tiendita	110	110	credit_card_visa	110	110	0	yes	1	110	Miller High Life x2	credit_card_visa:110 | cash:-110
16649222	2026-03-25T02:07:10+00:00	order_ended	MOSTRADOR	Tiendita	350	299	credit_card_visa	350	51	299	no	1	299	Amstel Ultra 355 ml x7	credit_card_visa:350 | cash:-51
16609967	2026-03-22T03:49:13+00:00	order_ended	MOSTRADOR	Tiendita	830	779	credit_card_visa	830	51	779	no	3	779	Amstel Ultra 355 ml x13 | Papas Preparadas x2 | Agua Mineral Preparada Topochico x1	credit_card_visa:830 | cash:-51
16379795	2026-03-04T03:21:31+00:00	order_ended	MOSTRADOR	Tiendita	300	249	credit_card_visa	300	51	249	no	1	249	Amstel Ultra 355 ml x6	credit_card_visa:300 | cash:-51
16237597	2026-02-20T04:02:41+00:00	order_ended	MOSTRADOR	Tiendita	270	224.1	credit_card_visa	270	45.9	224.1	no	1	224.1	Tecate Light 325 ml x6	credit_card_visa:270 | cash:-45.9
16224740	2026-02-19T04:09:18+00:00	order_ended	MOSTRADOR	Tiendita	470	424.1	credit_card_visa	470	45.9	424.1	no	2	424.1	Renta Cancha Padel x1 | Tecate Light 325 ml x6	credit_card_visa:470 | cash:-45.9
16224730	2026-02-19T03:36:34+00:00	order_ended	MOSTRADOR	Tiendita	420	374.1	credit_card_visa	420	45.9	374.1	no	2	374.1	Tecate Light 325 ml x6 | Malboro Lights x1	credit_card_visa:420 | cash:-45.9
16166914	2026-02-14T06:04:43+00:00	order_ended	MOSTRADOR	Tiendita	270	224.1	credit_card_visa	270	45.9	224.1	no	1	224.1	Bohemia Cristal x6	credit_card_visa:270 | cash:-45.9
16166913	2026-02-14T06:04:23+00:00	order_ended	MOSTRADOR	Tiendita	300	249	credit_card_visa	300	51	249	no	1	249	Amstel Ultra 355 ml x6	credit_card_visa:300 | cash:-51
16166912	2026-02-14T06:04:08+00:00	order_ended	MOSTRADOR	Tiendita	270	224.1	credit_card_visa	270	45.9	224.1	no	1	224.1	Bohemia Cristal x6	credit_card_visa:270 | cash:-45.9
16166911	2026-02-14T06:03:00+00:00	order_ended	MOSTRADOR	Tiendita	480	429	credit_card_visa	480	51	429	no	4	429	Amstel Ultra 355 ml x6 | Agua Mineral Topochico 600ml x2 | Powerade x1 | Agua RDB 1L x1	credit_card_visa:480 | cash:-51
16166879	2026-02-14T04:49:30+00:00	order_ended	MOSTRADOR	Tiendita	240	199.2	credit_card_visa	240	40.8	199.2	no	1	199.2	Carta Blanca Caguamita x6	credit_card_visa:240 | cash:-40.8
16166631	2026-02-14T01:31:54+00:00	order_ended	MOSTRADOR	Tiendita	380	329	credit_card_visa	380	51	329	no	2	329	Amstel Ultra 355 ml x6 | Clamato Preparado x1	credit_card_visa:380 | cash:-51
16112549	2026-02-10T05:01:41+00:00	order_ended	MOSTRADOR	Tiendita	630	579	credit_card_visa	630	51	579	no	2	579	Miller High Life x6 | XX Lager 325 ml x6	credit_card_visa:630 | cash:-51
16100314	2026-02-09T03:40:10+00:00	order_ended	MOSTRADOR	Tiendita	340	289	credit_card_visa	340	51	289	no	2	289	Amstel Ultra 355 ml x6 | Agua RDB 1L x1	credit_card_visa:340 | cash:-51
16084664	2026-02-07T04:46:15+00:00	order_ended	MOSTRADOR	Tiendita	815	769.1	credit_card_visa	815	45.9	769.1	no	6	769.1	Agua RDB 1L x1 | Tecate Light 325 ml x6 | Amstel Ultra 355 ml x2 | Tostitos x1 | Carne Seca Sabor Limón x1 | Torneo Relampago x1	credit_card_visa:815 | cash:-45.9
